Catchment,Constituent,Units,KPHD_Station,Location_ID,Date,DateTime,Value
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-10-03,2017-10-03 10:43:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-11-01,2017-11-01 10:20:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2017-12-12,2017-12-12 08:52:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-01-03,2018-01-03 10:59:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-02-01,2018-02-01 10:25:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-03-01,2018-03-01 11:08:00,100.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-04-03,2018-04-03 11:04:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-05-02,2018-05-02 11:05:00,30.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-06-12,2018-06-12 10:22:00,130.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-07-03,2018-07-03 12:25:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-08-07,2018-08-07 11:45:00,100.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-09-05,2018-09-05 11:01:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-10-02,2018-10-02 10:36:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-10-02,2018-10-02 10:36:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-11-06,2018-11-06 10:25:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-11-06,2018-11-06 10:25:00,30.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-12-03,2018-12-03 10:25:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2018-12-03,2018-12-03 10:25:00,30.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-01-10,2019-01-10 11:30:00,40.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-01-10,2019-01-10 11:30:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-02-22,2019-02-22 11:01:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-02-22,2019-02-22 11:01:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-03-20,2019-03-20 11:53:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-03-20,2019-03-20 11:53:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-04-03,2019-04-03 11:24:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-04-03,2019-04-03 11:24:00,20.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-05-02,2019-05-02 11:55:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-05-02,2019-05-02 11:55:00,10.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-06-04,2019-06-04 11:05:00,50.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-06-04,2019-06-04 11:05:00,190.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-07-02,2019-07-02 10:42:00,30.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-07-02,2019-07-02 10:42:00,80.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-08-13,2019-08-13 10:55:00,160.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-08-13,2019-08-13 10:55:00,60.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2019-09-05,2019-09-05 09:01:00,190.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2020-10-28,2020-10-28 09:55:00,16.8
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2020-10-28,2020-10-28 09:55:00,6.3
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2020-11-30,2020-11-30 10:15:00,118.7
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2020-11-30,2020-11-30 10:15:00,98.7
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2020-12-15,2020-12-15 10:24:00,60.2
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2020-12-15,2020-12-15 10:24:00,53.7
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-01-14,2021-01-14 11:01:00,19.9
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-01-14,2021-01-14 11:01:00,22.8
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-02-10,2021-02-10 11:23:00,11.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-02-10,2021-02-10 11:23:00,7.5
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-03-11,2021-03-11 10:00:00,16.9
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-03-11,2021-03-11 10:00:00,7.4
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-04-14,2021-04-14 10:34:00,45.0
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-04-14,2021-04-14 10:34:00,21.1
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-05-18,2021-05-18 11:28:00,228.2
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-05-18,2021-05-18 11:28:00,206.4
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-06-16,2021-06-16 10:54:00,93.3
Barker Creek,E. coli,MPN/100mL,BK01,KCHD-BK01,2021-06-16,2021-06-16 10:54:00,95.9
